model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,discount_price,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  S1059101,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CONVENTIONAL PRO,EWC with combo pack," 4,610",,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/06/S1059101-CONVENTIONAL-PRO-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1053121,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CELEB,Square EWC," 3,600",,,Snow White,https://www.cera-india.com/wp-content/uploads/2020/06/S1053121-CELEB-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1057101,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CONVENTIONAL with built in jet,EWC with built in jet," 4,070",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2019/05/Conventional-with-Cajol-Seat-Cover-WEB.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1053101,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CONVENTIONAL,EWC," 2,770",,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2019/05/Conventional-with-Cajol-Seat-Cover-WEB.png,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1053103,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CAMELIA Concealed,EWC S Concealed with Camelia seat cover 570 x 390 x 400 mm," 3,890",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/S1051103-CAMELIA-Concealed.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1053104,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CAMELIA,EWC with Camelia seat cover 530 x 385 x 390 mm," 3,050",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2019/09/S1050104-Camelia.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1053108,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CIGNIA,EWC Concealed with Carina seat cover 555 x 360 x 400 mm," 3,770",,,"Ivory,Snow White",https://www.cera-india.com/wp-content/uploads/2016/03/S1051108-CIGNIA-Concealed.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1053106,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - UNIVERSAL,EWC with Ceranglo deluxe seat cover 570 x 460 x 380 mm," 8,040",,,"Bahama Beige,Champagne,Cherry,Ivory,Megenta Red,Olive Green,Pink,Sapphire,Snow White,Soft Blue,Sorrento Blue",https://www.cera-india.com/wp-content/uploads/2016/03/Universal-S1050106-S-trap-WEB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1013164,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CONA,685 x 360 x 720 mm," 13,990",,,,https://www.cera-india.com/wp-content/uploads/2021/02/Cona.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1013190,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CEATTLE,One Piece EWC with soft close," 16,990",,,Snow White,https://www.cera-india.com/wp-content/uploads/2021/02/Ceatlle-S1013190.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1013207,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CEREMONY,"Rimless, 5D Flushing, Siphonic Jet Flushing, Slim soft close seat cover & fittings"," 13,990",,,Snow White,https://www.cera-india.com/wp-content/uploads/2022/02/S1013207-1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1013178,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CETA,One Piece EWC with soft close," 15,490",,,Snow White,https://www.cera-india.com/wp-content/uploads/2021/02/Ceta-S1013178.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1013179,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CADRE,One Piece EWC with slim soft close," 16,990",,,Snow White,https://www.cera-india.com/wp-content/uploads/2021/02/Cadre-S1013179.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1013177,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - COACH,One Piece EWC with soft close," 14,490",,,Snow White,https://www.cera-india.com/wp-content/uploads/2021/02/Coach-S1013177.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  S1013161,bathroom and kitchen fittings,sanitary ware,sanitary,comboard,cera,CERA EWCs - CAPSTAN MINI P,645 x 345 x 680 mm," 11,990",,,Snow White,https://www.cera-india.com/wp-content/uploads/2021/02/Capstan-Mini.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
